date,region,product,category,units_sold,unit_price,revenue,cost,profit,sales_rep
2025-03-11,South,Gadget,Accessories,137,118.81,16276.97,9686.3,6590.67,Alice
2025-04-12,South,Contraption,Accessories,140,247.03,34584.2,21041.31,13542.89,Dave
2025-09-19,West,Contraption,Hardware,195,216.07,42133.65,23490.54,18643.11,Bob
2025-10-14,East,Contraption,Accessories,66,72.28,4770.48,2037.56,2732.92,Carol
2024-08-28,East,Gizmo,Software,143,24.74,3537.82,1601.89,1935.93,Dave
2025-12-11,South,Gadget,Hardware,111,104.86,11639.46,6866.28,4773.18,Dave
2024-03-04,South,Contraption,Software,154,236.79,36465.66,14835.55,21630.11,Eve
2025-01-24,West,Widget,Software,81,189.6,15357.6,10730.46,4627.14,Dave
2025-07-05,South,Contraption,Hardware,74,111.78,8271.72,3392.72,4879.0,Carol
2025-11-15,West,Gadget,Software,37,245.28,9075.36,5326.72,3748.64,Dave
2025-08-29,North,Widget,Accessories,114,38.25,4360.5,2448.83,1911.67,Alice
2024-09-23,West,Gizmo,Hardware,121,85.08,10294.68,6860.69,3433.99,Dave
2024-10-11,West,Gizmo,Hardware,125,9.75,1218.75,717.6,501.15,Carol
2024-08-17,North,Widget,Hardware,68,53.84,3661.12,1490.56,2170.56,Bob
2024-09-01,South,Contraption,Accessories,34,143.17,4867.78,2318.46,2549.32,Carol
2025-01-12,South,Widget,Hardware,84,31.48,2644.32,1081.49,1562.83,Carol
2025-08-12,West,Contraption,Accessories,55,23.62,1299.1,833.65,465.45,Bob
2024-04-14,East,Widget,Accessories,15,90.06,1350.9,742.9,608.0,Carol
2024-03-11,East,Widget,Software,130,30.86,4011.8,2953.79,1058.01,Dave
2025-12-25,South,Contraption,Hardware,192,132.83,25503.36,16007.44,9495.92,Eve
2025-07-05,West,Contraption,Software,192,150.16,28830.72,14784.58,14046.14,Bob
2024-03-29,East,Contraption,Hardware,197,118.85,23413.45,14366.87,9046.58,Dave
2024-12-10,North,Contraption,Software,51,124.45,6346.95,3327.0,3019.95,Carol
2024-12-14,East,Gizmo,Accessories,7,131.57,920.99,429.98,491.01,Bob
2025-02-20,West,Gadget,Accessories,126,163.25,20569.5,11761.38,8808.12,Alice
2024-04-05,East,Gadget,Software,182,64.61,11759.02,7436.24,4322.78,Carol
2025-04-29,East,Contraption,Accessories,145,86.04,12475.8,8059.36,4416.44,Carol
2024-11-09,East,Gadget,Hardware,189,52.18,9862.02,4357.48,5504.54,Eve
2025-12-07,South,Gadget,Hardware,194,123.63,23984.22,15676.2,8308.02,Eve
2025-09-03,East,Widget,Hardware,80,60.73,4858.4,2248.49,2609.91,Alice
2025-12-26,South,Gizmo,Hardware,18,140.57,2530.26,1629.73,900.53,Bob
2025-10-15,West,Widget,Hardware,151,74.66,11273.66,6398.37,4875.29,Carol
2024-07-07,North,Gizmo,Software,34,206.42,7018.28,3791.61,3226.67,Alice
2025-08-13,North,Gadget,Hardware,149,237.54,35393.46,15212.58,20180.88,Bob
2024-05-01,West,Gadget,Accessories,102,115.38,11768.76,6531.1,5237.66,Eve
2025-03-15,East,Widget,Accessories,194,29.31,5686.14,3792.42,1893.72,Bob
2024-09-27,North,Gadget,Hardware,49,140.24,6871.76,3125.18,3746.58,Dave
2025-04-06,West,Gizmo,Hardware,64,75.59,4837.76,2413.81,2423.95,Dave
2024-03-13,South,Gizmo,Accessories,155,166.99,25883.45,18811.68,7071.77,Dave
2024-04-27,South,Gadget,Software,41,22.5,922.5,422.57,499.93,Carol
2025-09-01,East,Contraption,Hardware,124,173.73,21542.52,13892.92,7649.6,Carol
2025-05-27,West,Contraption,Hardware,158,14.77,2333.66,1286.34,1047.32,Carol
2025-09-10,East,Widget,Hardware,63,240.67,15162.21,10501.13,4661.08,Eve
2025-08-24,North,Gizmo,Accessories,15,191.96,2879.4,1328.32,1551.08,Eve
2025-10-29,West,Gizmo,Hardware,154,111.79,17215.66,11792.48,5423.18,Alice
2025-04-26,East,Contraption,Software,87,169.18,14718.66,10306.1,4412.56,Carol
2025-02-25,West,Gizmo,Accessories,107,204.32,21862.24,12954.12,8908.12,Dave
2024-03-31,East,Gizmo,Software,34,242.7,8251.8,4468.03,3783.77,Eve
2024-01-02,West,Contraption,Hardware,53,132.02,6997.06,4323.64,2673.42,Dave
2025-10-02,West,Widget,Hardware,73,139.56,10187.88,7383.01,2804.87,Dave
2025-12-16,West,Widget,Hardware,166,154.17,25592.22,12380.34,13211.88,Bob
2024-11-14,North,Contraption,Hardware,62,248.1,15382.2,11067.88,4314.32,Dave
2024-04-30,South,Contraption,Accessories,79,129.67,10243.93,5077.9,5166.03,Dave
2025-04-28,South,Contraption,Accessories,42,98.98,4157.16,3004.19,1152.97,Eve
2024-05-19,North,Gizmo,Software,92,233.89,21517.88,12431.06,9086.82,Alice
2024-10-16,East,Contraption,Hardware,119,136.95,16297.05,8487.4,7809.65,Eve
2025-07-10,West,Contraption,Software,53,245.29,13000.37,6286.74,6713.63,Dave
2024-08-27,West,Widget,Software,195,120.88,23571.6,16964.49,6607.11,Dave
2025-01-30,South,Contraption,Hardware,37,128.06,4738.22,2874.03,1864.19,Alice
2025-03-26,North,Contraption,Hardware,189,40.32,7620.48,5371.12,2249.36,Bob
2024-03-17,West,Gizmo,Software,164,174.71,28652.44,17977.77,10674.67,Carol
2025-11-21,West,Gizmo,Accessories,188,222.42,41814.96,23867.21,17947.75,Eve
2024-02-06,North,Gadget,Accessories,180,230.63,41513.4,31097.65,10415.75,Alice
2025-03-20,North,Widget,Software,47,175.03,8226.41,5891.74,2334.67,Alice
2024-11-28,North,Gizmo,Software,100,110.52,11052.0,5365.4,5686.6,Dave
2025-08-02,South,Gadget,Hardware,25,154.33,3858.25,2059.88,1798.37,Bob
2025-05-24,South,Gadget,Software,168,67.22,11292.96,5526.37,5766.59,Alice
2025-04-21,East,Gadget,Hardware,118,236.58,27916.44,20816.68,7099.76,Carol
2025-10-16,West,Gizmo,Software,82,53.81,4412.42,2359.07,2053.35,Dave
2024-04-19,South,Contraption,Accessories,96,145.83,13999.68,10463.95,3535.73,Carol
2024-01-23,West,Gizmo,Hardware,149,216.94,32324.06,21734.99,10589.07,Alice
2025-09-12,West,Gizmo,Hardware,160,201.47,32235.2,15364.96,16870.24,Bob
2025-09-27,East,Gadget,Accessories,29,226.33,6563.57,4110.23,2453.34,Carol
2025-03-27,North,Gizmo,Accessories,38,27.08,1029.04,517.9,511.14,Dave
2024-06-28,South,Gadget,Accessories,98,135.06,13235.88,9526.13,3709.75,Bob
2024-09-20,West,Gizmo,Accessories,91,202.04,18385.64,10367.96,8017.68,Alice
2024-05-24,South,Contraption,Accessories,98,27.12,2657.76,1430.14,1227.62,Carol
2025-07-03,North,Contraption,Software,177,188.51,33366.27,16408.08,16958.19,Dave
2025-10-15,East,Widget,Accessories,64,120.51,7712.64,4757.48,2955.16,Eve
2024-12-01,South,Widget,Accessories,123,227.8,28019.4,14171.28,13848.12,Dave
2024-04-29,South,Widget,Hardware,82,249.0,20418.0,8997.03,11420.97,Bob
2025-07-04,South,Contraption,Software,99,169.27,16757.73,11061.76,5695.97,Eve
2025-03-05,South,Contraption,Accessories,30,209.25,6277.5,3863.66,2413.84,Carol
2024-02-03,East,Gadget,Software,118,237.89,28071.02,19633.08,8437.94,Alice
2025-12-03,East,Gizmo,Hardware,106,72.59,7694.54,5685.28,2009.26,Dave
2024-04-03,South,Widget,Hardware,90,64.67,5820.3,2584.64,3235.66,Eve
2024-07-29,North,Gadget,Accessories,60,204.2,12252.0,5899.94,6352.06,Bob
2025-09-02,North,Gizmo,Hardware,38,137.35,5219.3,3546.41,1672.89,Alice
2025-11-07,North,Gadget,Hardware,96,198.55,19060.8,9211.63,9849.17,Carol
2024-01-17,South,Gizmo,Hardware,37,186.72,6908.64,4035.54,2873.1,Alice
2025-05-02,West,Gizmo,Accessories,156,31.72,4948.32,2851.93,2096.39,Eve
2024-02-14,East,Contraption,Accessories,12,19.9,238.8,135.55,103.25,Dave
2025-03-12,North,Contraption,Accessories,118,23.01,2715.18,1162.85,1552.33,Eve
2024-05-31,North,Gadget,Software,164,160.1,26256.4,15541.81,10714.59,Carol
2025-01-25,East,Contraption,Accessories,159,110.4,17553.6,11894.03,5659.57,Alice
2025-11-01,South,Contraption,Software,63,106.38,6701.94,4621.64,2080.3,Dave
2025-03-01,North,Gizmo,Software,85,167.95,14275.75,7580.5,6695.25,Bob
2025-12-04,West,Widget,Hardware,26,27.84,723.84,314.0,409.84,Carol
2024-05-13,North,Gizmo,Accessories,36,105.65,3803.4,2684.3,1119.1,Dave
2024-02-22,East,Gizmo,Software,31,146.59,4544.29,2156.08,2388.21,Dave
2024-08-17,North,Gizmo,Accessories,99,33.15,3281.85,1632.72,1649.13,Bob
2025-03-15,North,Gizmo,Hardware,51,71.95,3669.45,2446.95,1222.5,Carol
2024-12-25,North,Gadget,Hardware,149,166.05,24741.45,10499.16,14242.29,Alice
2024-04-03,South,Contraption,Software,121,88.52,10710.92,5671.63,5039.29,Carol
2025-08-04,North,Widget,Hardware,45,189.84,8542.8,3565.91,4976.89,Alice
2024-10-05,West,Contraption,Software,160,113.3,18128.0,8984.39,9143.61,Eve
2024-04-26,East,Contraption,Hardware,77,171.16,13179.32,8007.72,5171.6,Eve
2025-11-14,East,Widget,Hardware,106,246.19,26096.14,10938.82,15157.32,Bob
2024-11-04,South,Gadget,Software,79,85.39,6745.81,2716.57,4029.24,Dave
2024-06-28,South,Contraption,Accessories,185,61.38,11355.3,6762.69,4592.61,Carol
2024-03-14,West,Widget,Software,9,117.64,1058.76,452.36,606.4,Carol
2025-08-12,West,Contraption,Accessories,168,107.34,18033.12,7940.18,10092.94,Alice
2024-11-28,South,Contraption,Accessories,97,26.59,2579.23,1794.03,785.2,Bob
2025-03-22,West,Widget,Software,84,187.72,15768.48,7530.24,8238.24,Bob
2024-03-19,North,Gadget,Software,94,183.21,17221.74,11825.0,5396.74,Bob
2024-08-29,North,Gadget,Software,55,47.51,2613.05,1185.03,1428.02,Alice
2024-06-30,West,Contraption,Accessories,199,146.97,29247.03,18671.21,10575.82,Eve
2025-10-20,East,Gizmo,Hardware,117,21.73,2542.41,1410.46,1131.95,Carol
2024-10-08,North,Gizmo,Accessories,23,81.05,1864.15,1040.51,823.64,Alice
2025-01-12,East,Widget,Accessories,28,155.68,4359.04,2517.23,1841.81,Dave
2025-08-17,North,Contraption,Accessories,171,51.12,8741.52,5347.64,3393.88,Eve
2024-06-03,North,Contraption,Hardware,92,245.68,22602.56,9708.14,12894.42,Bob
2024-02-10,South,Contraption,Software,139,133.07,18496.73,8426.39,10070.34,Carol
2024-10-16,West,Contraption,Software,178,151.48,26963.44,18233.47,8729.97,Carol
2024-03-08,East,Widget,Accessories,178,99.71,17748.38,8664.73,9083.65,Eve
2024-06-02,East,Widget,Accessories,174,39.65,6899.1,3604.35,3294.75,Dave
2024-05-12,North,Gizmo,Accessories,101,162.66,16428.66,8460.21,7968.45,Bob
2025-11-17,North,Contraption,Accessories,97,9.47,918.59,466.74,451.85,Bob
2024-12-15,West,Gadget,Hardware,40,42.96,1718.4,865.26,853.14,Alice
2025-06-03,North,Gizmo,Accessories,38,151.33,5750.54,2610.68,3139.86,Bob
2025-12-10,South,Contraption,Hardware,110,94.25,10367.5,6758.11,3609.39,Dave
2025-09-17,East,Contraption,Hardware,141,63.6,8967.6,6617.72,2349.88,Dave
2024-07-17,East,Contraption,Software,77,195.64,15064.28,8677.29,6386.99,Dave
2024-06-14,South,Gadget,Software,18,162.09,2917.62,2059.67,857.95,Eve
2024-04-15,North,Gizmo,Hardware,200,44.28,8856.0,4935.11,3920.89,Eve
2024-05-30,West,Widget,Hardware,120,221.73,26607.6,19308.21,7299.39,Dave
2024-02-24,West,Gizmo,Hardware,103,248.66,25611.98,13605.58,12006.4,Alice
2024-11-22,North,Gizmo,Hardware,40,14.38,575.2,414.77,160.43,Dave
2025-12-13,South,Contraption,Software,162,6.29,1018.98,435.85,583.13,Carol
2024-08-08,South,Contraption,Hardware,78,63.22,4931.16,2182.76,2748.4,Bob
2025-03-05,West,Widget,Hardware,132,151.2,19958.4,8098.17,11860.23,Eve
2025-08-11,South,Gadget,Software,114,5.38,613.32,321.06,292.26,Eve
2025-03-02,South,Widget,Accessories,97,21.58,2093.26,1222.72,870.54,Eve
2025-06-03,North,Contraption,Software,16,160.74,2571.84,1911.81,660.03,Carol
2024-01-17,East,Widget,Software,66,184.57,12181.62,7551.26,4630.36,Eve
2024-12-06,South,Widget,Software,144,87.94,12663.36,7914.33,4749.03,Dave
2025-12-13,West,Gadget,Hardware,21,180.43,3789.03,2766.98,1022.05,Alice
2024-10-27,South,Widget,Hardware,15,82.32,1234.8,627.93,606.87,Dave
2025-07-10,West,Gizmo,Hardware,197,163.49,32207.53,16108.24,16099.29,Alice
2025-11-02,East,Gizmo,Hardware,99,112.05,11092.95,5990.28,5102.67,Dave
2025-01-30,East,Gadget,Software,182,126.89,23093.98,16708.69,6385.29,Eve
2024-09-30,North,Contraption,Hardware,115,152.6,17549.0,12070.54,5478.46,Eve
2024-10-27,East,Widget,Hardware,88,166.93,14689.84,7451.77,7238.07,Eve
2025-03-12,South,Contraption,Software,119,15.38,1830.22,1289.41,540.81,Carol
2025-09-21,West,Gizmo,Accessories,19,23.39,444.41,276.92,167.49,Carol
2025-06-09,South,Widget,Hardware,160,171.13,27380.8,15151.45,12229.35,Bob
2024-03-09,South,Gizmo,Software,103,237.62,24474.86,10067.36,14407.5,Bob
2025-11-26,West,Gizmo,Software,118,191.96,22651.28,13610.53,9040.75,Eve
2025-01-10,West,Gizmo,Accessories,76,66.15,5027.4,2210.58,2816.82,Bob
2025-05-26,West,Widget,Software,71,177.49,12601.79,5987.11,6614.68,Eve
2024-10-19,West,Gadget,Hardware,39,213.94,8343.66,4657.56,3686.1,Dave
2024-03-30,East,Gizmo,Accessories,21,139.75,2934.75,1472.15,1462.6,Carol
2024-06-10,South,Gizmo,Accessories,62,34.73,2153.26,1012.77,1140.49,Bob
2024-08-30,West,Widget,Software,146,145.21,21200.66,11948.52,9252.14,Eve
2024-05-12,North,Widget,Software,106,249.9,26489.4,17260.61,9228.79,Eve
2025-02-24,West,Widget,Hardware,86,162.37,13963.82,7784.71,6179.11,Eve
2024-12-18,South,Gadget,Hardware,115,128.2,14743.0,10377.22,4365.78,Alice
2025-06-14,South,Gizmo,Hardware,46,84.05,3866.3,2506.39,1359.91,Carol
2025-06-15,East,Widget,Software,55,160.59,8832.45,5235.83,3596.62,Bob
2025-10-02,East,Widget,Accessories,169,46.32,7828.08,5711.07,2117.01,Bob
2024-06-24,East,Widget,Hardware,25,16.14,403.5,251.99,151.51,Eve
2024-09-28,South,Contraption,Accessories,168,12.42,2086.56,1483.85,602.71,Eve
2024-10-23,East,Contraption,Hardware,180,104.49,18808.2,10508.9,8299.3,Alice
2024-06-10,West,Contraption,Software,123,54.99,6763.77,4141.67,2622.1,Carol
2024-11-22,East,Contraption,Hardware,199,95.78,19060.22,11370.91,7689.31,Carol
2024-09-04,West,Widget,Software,120,65.74,7888.8,3422.82,4465.98,Carol
2025-01-28,West,Gadget,Hardware,88,233.77,20571.76,13420.91,7150.85,Bob
